dataset,model,class_pair,target_id,surrogate_id,y_adv,num_classes,n_candidates,u_t,spearman_neg_margin_vs_u,spearman_u_vs_normalized_residual_dot,spearman_neg_margin_vs_residual_dot,fraction_margin_bounds_satisfied,fraction_residual_dot_bounds_satisfied,margin_bound_violation_count,margin_bound_max_violation,residual_dot_bound_violation_count,residual_dot_bound_max_violation,checkpoint
CIFAR10,ConvNetBN,dog-bird,8252,8,5,10,5000,0.9999999999041147,0.99825941920233496,0.9986588027623523,0.99660764726422446,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_8.pt
CIFAR10,ConvNetBN,dog-bird,8730,8,5,10,5000,0.99999999998636724,0.99825941920233496,0.99866289303451594,0.9966136859044662,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_8.pt
CIFAR10,ConvNetBN,dog-bird,8055,8,5,10,5000,0.99999999999960387,0.99825941920233496,0.9986587757863512,0.99660751747221932,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_8.pt
CIFAR10,ConvNetBN,dog-bird,5859,8,5,10,5000,0.99999999996585598,0.99825941920233496,0.99865874641035002,0.99660750700821887,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_8.pt
CIFAR10,ConvNetBN,dog-bird,8954,8,5,10,5000,0.99999999995574096,0.99825941920233496,0.99866272705050929,0.99661125705636899,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_8.pt
CIFAR10,ConvNetBN,dog-bird,821,8,5,10,5000,0.99999999923266913,0.99825941920233496,0.99865900330636026,0.99660776793622929,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_8.pt
CIFAR10,ConvNetBN,dog-bird,1547,8,5,10,5000,0.99999999821209162,0.99825941920233496,0.99949194445967793,0.99750287403605498,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_8.pt
CIFAR10,ConvNetBN,dog-bird,4427,8,5,10,5000,0.99999999992942989,0.99825941920233496,0.99865870925834854,0.99660743932821616,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_8.pt
CIFAR10,ConvNetBN,dog-bird,843,9,5,10,5000,0.99999999970841769,0.99832412927696534,0.99863145082525817,0.99662473711298971,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_9.pt
CIFAR10,ConvNetBN,dog-bird,1257,9,5,10,5000,0.99999999999894884,0.99832412927696534,0.99872209796488409,0.9967156686046269,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_9.pt
CIFAR10,ConvNetBN,dog-bird,8252,9,5,10,5000,0.999999999999999,0.99832412927696534,0.99863178279327147,0.99662535631301441,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_9.pt
CIFAR10,ConvNetBN,dog-bird,8730,9,5,10,5000,0.99999999999912992,0.99832412927696534,0.99933501248540069,0.99732197822887936,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_9.pt
CIFAR10,ConvNetBN,dog-bird,8055,9,5,10,5000,0.99999999773762949,0.99832412927696534,0.99863480640939239,0.99662854725714212,1,1,0,0,0,0,/scratch/mmoslem3/attack_if/cache/surrogates/ConvNetBN_60ep_lr0.1_bs128_seed42/net_9.pt
