index	account	attack	budget	victim_model	selector_model	K	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
35	aip-boyuwang	fc	0.002	VGG13BN	VGG13BN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K10_ce5_tgt3	job_035_bp_b0002_vvgg_svgg_k10.sh
36	aip-yiweilu	fc	0.002	VGG13BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K30_ce5_tgt3	job_036_bp_b0002_vvgg_svgg_k30.sh
37	aip-boyuwang	fc	0.005	ConvNetBN	ConvNetBN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K1_ce5_tgt50	job_037_bp_b0005_vconv_sconv_k1.sh
38	aip-boyuwang	fc	0.005	ConvNetBN	ConvNetBN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_ce5_tgt50	job_038_bp_b0005_vconv_sconv_k3.sh
39	aip-yiweilu	fc	0.005	ConvNetBN	ConvNetBN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_ce5_tgt50	job_039_bp_b0005_vconv_sconv_k10.sh
40	aip-boyuwang	fc	0.005	ConvNetBN	ConvNetBN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K30_ce5_tgt50	job_040_bp_b0005_vconv_sconv_k30.sh
41	aip-boyuwang	fc	0.005	ConvNetBN	ResNet20BN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K1_ce5_tgt50	job_041_bp_b0005_vconv_sr20_k1.sh
42	aip-yiweilu	fc	0.005	ConvNetBN	ResNet20BN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt50	job_042_bp_b0005_vconv_sr20_k3.sh
43	aip-boyuwang	fc	0.005	ConvNetBN	ResNet20BN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K10_ce5_tgt50	job_043_bp_b0005_vconv_sr20_k10.sh
44	aip-boyuwang	fc	0.005	ConvNetBN	ResNet20BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_fc_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K30_ce5_tgt50	job_044_bp_b0005_vconv_sr20_k30.sh
