dataset,model,class_pair,target_idx,candidate_count,spearman_neg_M_vs_exact,pearson_neg_M_vs_exact,spearman_R_vs_exact,pearson_R_vs_exact,spearman_A_vs_exact,pearson_A_vs_exact,spearman_head_vs_exact,pearson_head_vs_exact,spearman_beta0_vs_exact,pearson_beta0_vs_exact,spearman_beta1_vs_exact,pearson_beta1_vs_exact
CIFAR10,ResNet20BN,dog-bird,6707,5000,0.9087681272481564,0.546273537375026,-0.43845315714317196,-0.33406573213191604,0.9999700385528837,0.9999923626810447,0.9900443822897751,0.9626327103644546,0.4108875192773621,0.21726060270820857,0.7706618449249697,0.7861366302215093
CIFAR10,ResNet20BN,dog-bird,9874,5000,0.9013106760213215,0.5231255921318573,-0.45186065496011546,-0.3074301072387826,0.9999688590198357,0.9999942599490089,0.9903249175329967,0.9539257762309165,0.4162549907941996,0.23226001282614284,0.762441179105647,0.8028211855595366
CIFAR10,ResNet20BN,frog-airplane,9235,5000,0.9038570942982836,0.5041863622753466,-0.4422856303580401,-0.2786198948901152,0.9998503468070512,0.9999954786841928,0.9862421494976857,0.952102873063421,0.45264566924182675,0.23716044348833243,0.7309992517999699,0.7985246152538079
CIFAR10,ResNet20BN,frog-airplane,338,5000,0.9079644109483677,0.5145986883369092,-0.5175608608232773,-0.32109801779665237,0.9998546558501811,0.9999966919783105,0.994749823605867,0.9624880296528273,0.4275556543444875,0.22794228346682693,0.7372555211096092,0.822072073746401
CIFAR10,ResNet20BN,frog-airplane,255,5000,0.9081357119414283,0.5063183734650041,-0.3708211211706442,-0.26030952921647127,0.9997680351295423,0.9999959614133459,0.9855339862930124,0.9505153737472689,0.4755750249750009,0.23802948848535108,0.7394036894481475,0.7787491315098963
CIFAR10,ResNet20BN,frog-airplane,3207,5000,0.9092805591930452,0.5200608233994937,-0.4559063803381388,-0.32211537343161945,0.9998487029897655,0.9999970250739845,0.9907580062140985,0.9545343071043466,0.45208726204634064,0.21051370148024,0.751300069318034,0.7933450184286339
CIFAR10,ResNet20BN,frog-airplane,8563,5000,0.9115728910869155,0.5147081911100955,-0.5045247328655322,-0.38479984546823987,0.9998532130933087,0.9999976612934207,0.9923934335517373,0.9620252032300178,0.41162682494507297,0.14383403819193846,0.7447281104931243,0.7842730367942701
CIFAR10,ResNet20BN,frog-airplane,912,5000,0.9083019650360785,0.519141256348462,-0.5470314318086436,-0.3825444440233634,0.9998588578660801,0.9999967706972388,0.9951975689919026,0.9630001711288659,0.3850739917869596,0.16426264415172537,0.7362999342519971,0.8108057485194552
CIFAR10,ResNet20BN,frog-airplane,4639,5000,0.9072896877373625,0.5003292023162158,-0.49326307841019984,-0.31610258166500643,0.9997495023298653,0.9999951736799915,0.9828844248749663,0.9429778256637602,0.4419816277324803,0.20648839452801498,0.7362569675959489,0.804976482918444
CIFAR10,ResNet20BN,frog-airplane,2570,5000,0.9003796725271866,0.4793826198702462,-0.368316629303184,-0.23801053463918176,0.9997349119916197,0.9999876710349616,0.9800055732802229,0.9465618159718343,0.4740813920192556,0.23079848321322666,0.7218292688411707,0.7735274839457293
CIFAR10,ResNet20BN,frog-airplane,3117,5000,0.9056860451874416,0.5084659300623218,-0.5337027847817291,-0.34254611708182975,0.9998491972958973,0.9999972056668309,0.9941314956692597,0.9668456354430499,0.4023724210228968,0.19778618449115126,0.7295840869433634,0.8171607000587666
