dataset,model,class_pair,target_idx,selector,selector_label,poison_rho,train_set_size,candidate_count,requested_m,candidate_fraction,budget_valid,invalid_reason,overlap,overlap_at_m,jaccard_at_m,spearman_exact_top_m,spearman_selected_union,random_expected_overlap_at_m
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.02,50000,5000,1000,0.2,True,,355,0.355,0.21580547112462006,0.05740893340893341,-0.4050340046451984,0.2
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.02,50000,5000,1000,0.2,True,,680,0.68,0.5151515151515151,0.7100133500133501,0.4725481205666859,0.2
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.02,50000,5000,1000,0.2,True,,989,0.989,0.9782393669634025,0.9957870837870838,0.995787111932713,0.2
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_high,Product (-M)RA · high first,0.02,50000,5000,1000,0.2,True,,0,0.0,0.0,-0.7514752754752756,-0.9596146711608167,0.2
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_low,Product (-M)RA · low first,0.02,50000,5000,1000,0.2,True,,861,0.861,0.7559262510974539,0.7514752754752756,0.7313445910657933,0.2
CIFAR10,ConvNetBN,dog-bird,8730,beta0,GRAFT (\beta=0),0.04,50000,5000,2000,0.4,True,,1192,0.596,0.42450142450142453,0.08400395250098813,-0.14350195837914775,0.4
CIFAR10,ConvNetBN,dog-bird,8730,beta1,GRAFT+ (\beta=1),0.04,50000,5000,2000,0.4,True,,1474,0.737,0.5835312747426762,0.6542092875523219,0.4942374854103841,0.4
CIFAR10,ConvNetBN,dog-bird,8730,A,Backbone alignment A,0.04,50000,5000,2000,0.4,True,,1977,0.9885,0.9772614928324271,0.9973957863489467,0.99737814021014,0.4
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_high,Product (-M)RA · high first,0.04,50000,5000,2000,0.4,True,,3,0.0015,0.0007505629221916438,-0.861963939990985,-0.9770348501614045,0.4
CIFAR10,ConvNetBN,dog-bird,8730,product_neg_MRA_low,Product (-M)RA · low first,0.04,50000,5000,2000,0.4,True,,1852,0.926,0.8621973929236499,0.861963939990985,0.8651837693221589,0.4
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.001,50000,5000,50,0.01,True,,4,0.08,0.041666666666666664,0.2542617046818727,-0.6472870320130222,0.01
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.001,50000,5000,50,0.01,True,,37,0.74,0.5873015873015873,0.8573829531812724,0.6845718125960062,0.01
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.001,50000,5000,50,0.01,True,,49,0.98,0.9607843137254902,0.9918367346938775,0.991945701357466,0.01
CIFAR10,ConvNetBN,dog-bird,8055,product_neg_MRA_high,Product (-M)RA · high first,0.001,50000,5000,50,0.01,True,,0,0.0,0.0,-0.29920768307322926,-0.8754755475547553,0.01
CIFAR10,ConvNetBN,dog-bird,8055,product_neg_MRA_low,Product (-M)RA · low first,0.001,50000,5000,50,0.01,True,,32,0.64,0.47058823529411764,0.29920768307322926,0.215177310379051,0.01
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.002,50000,5000,100,0.02,True,,11,0.11,0.0582010582010582,0.23797179717971795,-0.6121687196715193,0.02
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.002,50000,5000,100,0.02,True,,70,0.7,0.5384615384615384,0.8205100510051004,0.6019500471124827,0.02
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.002,50000,5000,100,0.02,True,,100,1.0,1.0,0.9944554455445543,0.9944554455445543,0.02
CIFAR10,ConvNetBN,dog-bird,8055,product_neg_MRA_high,Product (-M)RA · high first,0.002,50000,5000,100,0.02,True,,0,0.0,0.0,-0.5963036303630361,-0.8713271272061918,0.02
CIFAR10,ConvNetBN,dog-bird,8055,product_neg_MRA_low,Product (-M)RA · low first,0.002,50000,5000,100,0.02,True,,63,0.63,0.45985401459854014,0.5963036303630361,0.36424477756827894,0.02
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.005,50000,5000,250,0.05,True,,49,0.196,0.10864745011086474,0.1384607113713819,-0.5467813904205011,0.05
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.005,50000,5000,250,0.05,True,,172,0.688,0.524390243902439,0.7344781836509383,0.5069121900889683,0.05
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.005,50000,5000,250,0.05,True,,247,0.988,0.9762845849802372,0.9939703355253682,0.9939488789197795,0.05
CIFAR10,ConvNetBN,dog-bird,8055,product_neg_MRA_high,Product (-M)RA · high first,0.005,50000,5000,250,0.05,True,,0,0.0,0.0,-0.5940955215283443,-0.8861674054142935,0.05
CIFAR10,ConvNetBN,dog-bird,8055,product_neg_MRA_low,Product (-M)RA · low first,0.005,50000,5000,250,0.05,True,,189,0.756,0.6077170418006431,0.5940955215283443,0.5075810042047985,0.05
CIFAR10,ConvNetBN,dog-bird,8055,beta0,GRAFT (\beta=0),0.01,50000,5000,500,0.1,True,,132,0.264,0.15207373271889402,0.1746580106320425,-0.4392853505082068,0.1
CIFAR10,ConvNetBN,dog-bird,8055,beta1,GRAFT+ (\beta=1),0.01,50000,5000,500,0.1,True,,339,0.678,0.5128593040847201,0.733066228264913,0.48290768151091473,0.1
CIFAR10,ConvNetBN,dog-bird,8055,A,Backbone alignment A,0.01,50000,5000,500,0.1,True,,490,0.98,0.9607843137254902,0.9953005892023568,0.995046139671252,0.1
