dataset,model,class_pair,target_idx,selector,selector_label,fraction,candidate_count,k,overlap,overlap_at_k,random_expected_overlap_at_k
CIFAR10,ConvNetBN,dog-bird,1547,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ConvNetBN,dog-bird,1547,beta0,GRAFT (\beta=0),0.002,5000,10,2,0.2,0.002
CIFAR10,ConvNetBN,dog-bird,1547,beta1,GRAFT+ (\beta=1),0.002,5000,10,9,0.9,0.002
CIFAR10,ConvNetBN,dog-bird,1547,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,dog-bird,1547,beta0,GRAFT (\beta=0),0.005,5000,25,3,0.12,0.005
CIFAR10,ConvNetBN,dog-bird,1547,beta1,GRAFT+ (\beta=1),0.005,5000,25,21,0.84,0.005
CIFAR10,ConvNetBN,dog-bird,1547,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ConvNetBN,dog-bird,1547,beta0,GRAFT (\beta=0),0.01,5000,50,6,0.12,0.01
CIFAR10,ConvNetBN,dog-bird,1547,beta1,GRAFT+ (\beta=1),0.01,5000,50,38,0.76,0.01
CIFAR10,ConvNetBN,dog-bird,1547,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ConvNetBN,dog-bird,1547,beta0,GRAFT (\beta=0),0.02,5000,100,11,0.11,0.02
CIFAR10,ConvNetBN,dog-bird,1547,beta1,GRAFT+ (\beta=1),0.02,5000,100,69,0.69,0.02
CIFAR10,ConvNetBN,dog-bird,1547,A,Backbone alignment A,0.02,5000,100,95,0.95,0.02
CIFAR10,ConvNetBN,dog-bird,1547,beta0,GRAFT (\beta=0),0.05,5000,250,45,0.18,0.05
CIFAR10,ConvNetBN,dog-bird,1547,beta1,GRAFT+ (\beta=1),0.05,5000,250,166,0.664,0.05
CIFAR10,ConvNetBN,dog-bird,1547,A,Backbone alignment A,0.05,5000,250,242,0.968,0.05
CIFAR10,ConvNetBN,dog-bird,1547,beta0,GRAFT (\beta=0),0.1,5000,500,121,0.242,0.1
CIFAR10,ConvNetBN,dog-bird,1547,beta1,GRAFT+ (\beta=1),0.1,5000,500,315,0.63,0.1
CIFAR10,ConvNetBN,dog-bird,1547,A,Backbone alignment A,0.1,5000,500,487,0.974,0.1
CIFAR10,ConvNetBN,dog-bird,1547,beta0,GRAFT (\beta=0),0.2,5000,1000,366,0.366,0.2
CIFAR10,ConvNetBN,dog-bird,1547,beta1,GRAFT+ (\beta=1),0.2,5000,1000,665,0.665,0.2
CIFAR10,ConvNetBN,dog-bird,1547,A,Backbone alignment A,0.2,5000,1000,977,0.977,0.2
CIFAR10,ConvNetBN,dog-bird,4427,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ConvNetBN,dog-bird,4427,beta1,GRAFT+ (\beta=1),0.001,5000,5,3,0.6,0.001
CIFAR10,ConvNetBN,dog-bird,4427,A,Backbone alignment A,0.001,5000,5,4,0.8,0.001
CIFAR10,ConvNetBN,dog-bird,4427,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ConvNetBN,dog-bird,4427,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ConvNetBN,dog-bird,4427,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ConvNetBN,dog-bird,4427,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
CIFAR10,ConvNetBN,dog-bird,4427,beta1,GRAFT+ (\beta=1),0.005,5000,25,16,0.64,0.005
CIFAR10,ConvNetBN,dog-bird,4427,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ConvNetBN,dog-bird,4427,beta0,GRAFT (\beta=0),0.01,5000,50,3,0.06,0.01
