dataset,model,class_pair,target_idx,selector,selector_label,fraction,candidate_count,k,overlap,overlap_at_k,random_expected_overlap_at_k
CIFAR10,ResNet20BN,dog-bird,9874,beta1,GRAFT+ (\beta=1),0.05,5000,250,174,0.696,0.05
CIFAR10,ResNet20BN,dog-bird,9874,A,Backbone alignment A,0.05,5000,250,249,0.996,0.05
CIFAR10,ResNet20BN,dog-bird,9874,beta0,GRAFT (\beta=0),0.1,5000,500,74,0.148,0.1
CIFAR10,ResNet20BN,dog-bird,9874,beta1,GRAFT+ (\beta=1),0.1,5000,500,352,0.704,0.1
CIFAR10,ResNet20BN,dog-bird,9874,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,dog-bird,9874,beta0,GRAFT (\beta=0),0.2,5000,1000,324,0.324,0.2
CIFAR10,ResNet20BN,dog-bird,9874,beta1,GRAFT+ (\beta=1),0.2,5000,1000,706,0.706,0.2
CIFAR10,ResNet20BN,dog-bird,9874,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,frog-airplane,9235,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,frog-airplane,9235,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ResNet20BN,frog-airplane,9235,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,9235,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,frog-airplane,9235,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ResNet20BN,frog-airplane,9235,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,frog-airplane,9235,beta0,GRAFT (\beta=0),0.005,5000,25,1,0.04,0.005
CIFAR10,ResNet20BN,frog-airplane,9235,beta1,GRAFT+ (\beta=1),0.005,5000,25,21,0.84,0.005
CIFAR10,ResNet20BN,frog-airplane,9235,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,frog-airplane,9235,beta0,GRAFT (\beta=0),0.01,5000,50,2,0.04,0.01
CIFAR10,ResNet20BN,frog-airplane,9235,beta1,GRAFT+ (\beta=1),0.01,5000,50,38,0.76,0.01
CIFAR10,ResNet20BN,frog-airplane,9235,A,Backbone alignment A,0.01,5000,50,49,0.98,0.01
CIFAR10,ResNet20BN,frog-airplane,9235,beta0,GRAFT (\beta=0),0.02,5000,100,5,0.05,0.02
CIFAR10,ResNet20BN,frog-airplane,9235,beta1,GRAFT+ (\beta=1),0.02,5000,100,78,0.78,0.02
CIFAR10,ResNet20BN,frog-airplane,9235,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,frog-airplane,9235,beta0,GRAFT (\beta=0),0.05,5000,250,22,0.088,0.05
CIFAR10,ResNet20BN,frog-airplane,9235,beta1,GRAFT+ (\beta=1),0.05,5000,250,185,0.74,0.05
CIFAR10,ResNet20BN,frog-airplane,9235,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,frog-airplane,9235,beta0,GRAFT (\beta=0),0.1,5000,500,98,0.196,0.1
CIFAR10,ResNet20BN,frog-airplane,9235,beta1,GRAFT+ (\beta=1),0.1,5000,500,354,0.708,0.1
CIFAR10,ResNet20BN,frog-airplane,9235,A,Backbone alignment A,0.1,5000,500,500,1.0,0.1
CIFAR10,ResNet20BN,frog-airplane,9235,beta0,GRAFT (\beta=0),0.2,5000,1000,326,0.326,0.2
CIFAR10,ResNet20BN,frog-airplane,9235,beta1,GRAFT+ (\beta=1),0.2,5000,1000,668,0.668,0.2
CIFAR10,ResNet20BN,frog-airplane,9235,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,frog-airplane,338,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,frog-airplane,338,beta1,GRAFT+ (\beta=1),0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,338,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,338,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,frog-airplane,338,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ResNet20BN,frog-airplane,338,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,frog-airplane,338,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,frog-airplane,338,beta1,GRAFT+ (\beta=1),0.005,5000,25,20,0.8,0.005
CIFAR10,ResNet20BN,frog-airplane,338,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,frog-airplane,338,beta0,GRAFT (\beta=0),0.01,5000,50,1,0.02,0.01
CIFAR10,ResNet20BN,frog-airplane,338,beta1,GRAFT+ (\beta=1),0.01,5000,50,40,0.8,0.01
CIFAR10,ResNet20BN,frog-airplane,338,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,frog-airplane,338,beta0,GRAFT (\beta=0),0.02,5000,100,4,0.04,0.02
CIFAR10,ResNet20BN,frog-airplane,338,beta1,GRAFT+ (\beta=1),0.02,5000,100,79,0.79,0.02
CIFAR10,ResNet20BN,frog-airplane,338,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,frog-airplane,338,beta0,GRAFT (\beta=0),0.05,5000,250,26,0.104,0.05
CIFAR10,ResNet20BN,frog-airplane,338,beta1,GRAFT+ (\beta=1),0.05,5000,250,190,0.76,0.05
CIFAR10,ResNet20BN,frog-airplane,338,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,frog-airplane,338,beta0,GRAFT (\beta=0),0.1,5000,500,101,0.202,0.1
CIFAR10,ResNet20BN,frog-airplane,338,beta1,GRAFT+ (\beta=1),0.1,5000,500,354,0.708,0.1
CIFAR10,ResNet20BN,frog-airplane,338,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,frog-airplane,338,beta0,GRAFT (\beta=0),0.2,5000,1000,327,0.327,0.2
CIFAR10,ResNet20BN,frog-airplane,338,beta1,GRAFT+ (\beta=1),0.2,5000,1000,689,0.689,0.2
CIFAR10,ResNet20BN,frog-airplane,338,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,frog-airplane,255,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,frog-airplane,255,beta1,GRAFT+ (\beta=1),0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,255,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,255,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,frog-airplane,255,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ResNet20BN,frog-airplane,255,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,frog-airplane,255,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,frog-airplane,255,beta1,GRAFT+ (\beta=1),0.005,5000,25,19,0.76,0.005
CIFAR10,ResNet20BN,frog-airplane,255,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,frog-airplane,255,beta0,GRAFT (\beta=0),0.01,5000,50,2,0.04,0.01
CIFAR10,ResNet20BN,frog-airplane,255,beta1,GRAFT+ (\beta=1),0.01,5000,50,41,0.82,0.01
CIFAR10,ResNet20BN,frog-airplane,255,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,frog-airplane,255,beta0,GRAFT (\beta=0),0.02,5000,100,5,0.05,0.02
CIFAR10,ResNet20BN,frog-airplane,255,beta1,GRAFT+ (\beta=1),0.02,5000,100,76,0.76,0.02
CIFAR10,ResNet20BN,frog-airplane,255,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,frog-airplane,255,beta0,GRAFT (\beta=0),0.05,5000,250,27,0.108,0.05
CIFAR10,ResNet20BN,frog-airplane,255,beta1,GRAFT+ (\beta=1),0.05,5000,250,176,0.704,0.05
CIFAR10,ResNet20BN,frog-airplane,255,A,Backbone alignment A,0.05,5000,250,249,0.996,0.05
CIFAR10,ResNet20BN,frog-airplane,255,beta0,GRAFT (\beta=0),0.1,5000,500,110,0.22,0.1
CIFAR10,ResNet20BN,frog-airplane,255,beta1,GRAFT+ (\beta=1),0.1,5000,500,344,0.688,0.1
CIFAR10,ResNet20BN,frog-airplane,255,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,frog-airplane,255,beta0,GRAFT (\beta=0),0.2,5000,1000,337,0.337,0.2
CIFAR10,ResNet20BN,frog-airplane,255,beta1,GRAFT+ (\beta=1),0.2,5000,1000,670,0.67,0.2
CIFAR10,ResNet20BN,frog-airplane,255,A,Backbone alignment A,0.2,5000,1000,998,0.998,0.2
CIFAR10,ResNet20BN,frog-airplane,3207,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,frog-airplane,3207,beta1,GRAFT+ (\beta=1),0.001,5000,5,2,0.4,0.001
CIFAR10,ResNet20BN,frog-airplane,3207,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,3207,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,frog-airplane,3207,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ResNet20BN,frog-airplane,3207,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,frog-airplane,3207,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,frog-airplane,3207,beta1,GRAFT+ (\beta=1),0.005,5000,25,20,0.8,0.005
CIFAR10,ResNet20BN,frog-airplane,3207,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,frog-airplane,3207,beta0,GRAFT (\beta=0),0.01,5000,50,3,0.06,0.01
CIFAR10,ResNet20BN,frog-airplane,3207,beta1,GRAFT+ (\beta=1),0.01,5000,50,38,0.76,0.01
CIFAR10,ResNet20BN,frog-airplane,3207,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,frog-airplane,3207,beta0,GRAFT (\beta=0),0.02,5000,100,4,0.04,0.02
CIFAR10,ResNet20BN,frog-airplane,3207,beta1,GRAFT+ (\beta=1),0.02,5000,100,72,0.72,0.02
CIFAR10,ResNet20BN,frog-airplane,3207,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,frog-airplane,3207,beta0,GRAFT (\beta=0),0.05,5000,250,21,0.084,0.05
CIFAR10,ResNet20BN,frog-airplane,3207,beta1,GRAFT+ (\beta=1),0.05,5000,250,175,0.7,0.05
CIFAR10,ResNet20BN,frog-airplane,3207,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,frog-airplane,3207,beta0,GRAFT (\beta=0),0.1,5000,500,85,0.17,0.1
CIFAR10,ResNet20BN,frog-airplane,3207,beta1,GRAFT+ (\beta=1),0.1,5000,500,340,0.68,0.1
CIFAR10,ResNet20BN,frog-airplane,3207,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,frog-airplane,3207,beta0,GRAFT (\beta=0),0.2,5000,1000,308,0.308,0.2
CIFAR10,ResNet20BN,frog-airplane,3207,beta1,GRAFT+ (\beta=1),0.2,5000,1000,673,0.673,0.2
CIFAR10,ResNet20BN,frog-airplane,3207,A,Backbone alignment A,0.2,5000,1000,998,0.998,0.2
CIFAR10,ResNet20BN,frog-airplane,8563,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,frog-airplane,8563,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ResNet20BN,frog-airplane,8563,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,8563,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,frog-airplane,8563,beta1,GRAFT+ (\beta=1),0.002,5000,10,9,0.9,0.002
CIFAR10,ResNet20BN,frog-airplane,8563,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,frog-airplane,8563,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,frog-airplane,8563,beta1,GRAFT+ (\beta=1),0.005,5000,25,20,0.8,0.005
CIFAR10,ResNet20BN,frog-airplane,8563,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,frog-airplane,8563,beta0,GRAFT (\beta=0),0.01,5000,50,0,0.0,0.01
CIFAR10,ResNet20BN,frog-airplane,8563,beta1,GRAFT+ (\beta=1),0.01,5000,50,36,0.72,0.01
CIFAR10,ResNet20BN,frog-airplane,8563,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,frog-airplane,8563,beta0,GRAFT (\beta=0),0.02,5000,100,1,0.01,0.02
CIFAR10,ResNet20BN,frog-airplane,8563,beta1,GRAFT+ (\beta=1),0.02,5000,100,70,0.7,0.02
CIFAR10,ResNet20BN,frog-airplane,8563,A,Backbone alignment A,0.02,5000,100,99,0.99,0.02
CIFAR10,ResNet20BN,frog-airplane,8563,beta0,GRAFT (\beta=0),0.05,5000,250,21,0.084,0.05
CIFAR10,ResNet20BN,frog-airplane,8563,beta1,GRAFT+ (\beta=1),0.05,5000,250,183,0.732,0.05
CIFAR10,ResNet20BN,frog-airplane,8563,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,frog-airplane,8563,beta0,GRAFT (\beta=0),0.1,5000,500,73,0.146,0.1
CIFAR10,ResNet20BN,frog-airplane,8563,beta1,GRAFT+ (\beta=1),0.1,5000,500,343,0.686,0.1
CIFAR10,ResNet20BN,frog-airplane,8563,A,Backbone alignment A,0.1,5000,500,500,1.0,0.1
CIFAR10,ResNet20BN,frog-airplane,8563,beta0,GRAFT (\beta=0),0.2,5000,1000,299,0.299,0.2
CIFAR10,ResNet20BN,frog-airplane,8563,beta1,GRAFT+ (\beta=1),0.2,5000,1000,684,0.684,0.2
CIFAR10,ResNet20BN,frog-airplane,8563,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,frog-airplane,912,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,frog-airplane,912,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ResNet20BN,frog-airplane,912,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,912,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,frog-airplane,912,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ResNet20BN,frog-airplane,912,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,frog-airplane,912,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,frog-airplane,912,beta1,GRAFT+ (\beta=1),0.005,5000,25,21,0.84,0.005
CIFAR10,ResNet20BN,frog-airplane,912,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,frog-airplane,912,beta0,GRAFT (\beta=0),0.01,5000,50,2,0.04,0.01
CIFAR10,ResNet20BN,frog-airplane,912,beta1,GRAFT+ (\beta=1),0.01,5000,50,40,0.8,0.01
CIFAR10,ResNet20BN,frog-airplane,912,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,frog-airplane,912,beta0,GRAFT (\beta=0),0.02,5000,100,3,0.03,0.02
CIFAR10,ResNet20BN,frog-airplane,912,beta1,GRAFT+ (\beta=1),0.02,5000,100,77,0.77,0.02
CIFAR10,ResNet20BN,frog-airplane,912,A,Backbone alignment A,0.02,5000,100,100,1.0,0.02
CIFAR10,ResNet20BN,frog-airplane,912,beta0,GRAFT (\beta=0),0.05,5000,250,17,0.068,0.05
CIFAR10,ResNet20BN,frog-airplane,912,beta1,GRAFT+ (\beta=1),0.05,5000,250,185,0.74,0.05
CIFAR10,ResNet20BN,frog-airplane,912,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,frog-airplane,912,beta0,GRAFT (\beta=0),0.1,5000,500,80,0.16,0.1
CIFAR10,ResNet20BN,frog-airplane,912,beta1,GRAFT+ (\beta=1),0.1,5000,500,364,0.728,0.1
CIFAR10,ResNet20BN,frog-airplane,912,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,frog-airplane,912,beta0,GRAFT (\beta=0),0.2,5000,1000,292,0.292,0.2
CIFAR10,ResNet20BN,frog-airplane,912,beta1,GRAFT+ (\beta=1),0.2,5000,1000,702,0.702,0.2
CIFAR10,ResNet20BN,frog-airplane,912,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,frog-airplane,4639,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,frog-airplane,4639,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ResNet20BN,frog-airplane,4639,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,4639,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,frog-airplane,4639,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ResNet20BN,frog-airplane,4639,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,frog-airplane,4639,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,frog-airplane,4639,beta1,GRAFT+ (\beta=1),0.005,5000,25,22,0.88,0.005
CIFAR10,ResNet20BN,frog-airplane,4639,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,frog-airplane,4639,beta0,GRAFT (\beta=0),0.01,5000,50,1,0.02,0.01
CIFAR10,ResNet20BN,frog-airplane,4639,beta1,GRAFT+ (\beta=1),0.01,5000,50,40,0.8,0.01
CIFAR10,ResNet20BN,frog-airplane,4639,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,frog-airplane,4639,beta0,GRAFT (\beta=0),0.02,5000,100,3,0.03,0.02
CIFAR10,ResNet20BN,frog-airplane,4639,beta1,GRAFT+ (\beta=1),0.02,5000,100,73,0.73,0.02
CIFAR10,ResNet20BN,frog-airplane,4639,A,Backbone alignment A,0.02,5000,100,99,0.99,0.02
CIFAR10,ResNet20BN,frog-airplane,4639,beta0,GRAFT (\beta=0),0.05,5000,250,20,0.08,0.05
CIFAR10,ResNet20BN,frog-airplane,4639,beta1,GRAFT+ (\beta=1),0.05,5000,250,175,0.7,0.05
CIFAR10,ResNet20BN,frog-airplane,4639,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,frog-airplane,4639,beta0,GRAFT (\beta=0),0.1,5000,500,92,0.184,0.1
CIFAR10,ResNet20BN,frog-airplane,4639,beta1,GRAFT+ (\beta=1),0.1,5000,500,351,0.702,0.1
CIFAR10,ResNet20BN,frog-airplane,4639,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,frog-airplane,4639,beta0,GRAFT (\beta=0),0.2,5000,1000,317,0.317,0.2
CIFAR10,ResNet20BN,frog-airplane,4639,beta1,GRAFT+ (\beta=1),0.2,5000,1000,679,0.679,0.2
CIFAR10,ResNet20BN,frog-airplane,4639,A,Backbone alignment A,0.2,5000,1000,999,0.999,0.2
CIFAR10,ResNet20BN,frog-airplane,2570,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,frog-airplane,2570,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ResNet20BN,frog-airplane,2570,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,2570,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,frog-airplane,2570,beta1,GRAFT+ (\beta=1),0.002,5000,10,8,0.8,0.002
CIFAR10,ResNet20BN,frog-airplane,2570,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,frog-airplane,2570,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,frog-airplane,2570,beta1,GRAFT+ (\beta=1),0.005,5000,25,21,0.84,0.005
CIFAR10,ResNet20BN,frog-airplane,2570,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,frog-airplane,2570,beta0,GRAFT (\beta=0),0.01,5000,50,0,0.0,0.01
CIFAR10,ResNet20BN,frog-airplane,2570,beta1,GRAFT+ (\beta=1),0.01,5000,50,42,0.84,0.01
CIFAR10,ResNet20BN,frog-airplane,2570,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,frog-airplane,2570,beta0,GRAFT (\beta=0),0.02,5000,100,3,0.03,0.02
CIFAR10,ResNet20BN,frog-airplane,2570,beta1,GRAFT+ (\beta=1),0.02,5000,100,76,0.76,0.02
CIFAR10,ResNet20BN,frog-airplane,2570,A,Backbone alignment A,0.02,5000,100,99,0.99,0.02
CIFAR10,ResNet20BN,frog-airplane,2570,beta0,GRAFT (\beta=0),0.05,5000,250,23,0.092,0.05
CIFAR10,ResNet20BN,frog-airplane,2570,beta1,GRAFT+ (\beta=1),0.05,5000,250,178,0.712,0.05
CIFAR10,ResNet20BN,frog-airplane,2570,A,Backbone alignment A,0.05,5000,250,250,1.0,0.05
CIFAR10,ResNet20BN,frog-airplane,2570,beta0,GRAFT (\beta=0),0.1,5000,500,96,0.192,0.1
CIFAR10,ResNet20BN,frog-airplane,2570,beta1,GRAFT+ (\beta=1),0.1,5000,500,346,0.692,0.1
CIFAR10,ResNet20BN,frog-airplane,2570,A,Backbone alignment A,0.1,5000,500,498,0.996,0.1
CIFAR10,ResNet20BN,frog-airplane,2570,beta0,GRAFT (\beta=0),0.2,5000,1000,331,0.331,0.2
CIFAR10,ResNet20BN,frog-airplane,2570,beta1,GRAFT+ (\beta=1),0.2,5000,1000,645,0.645,0.2
CIFAR10,ResNet20BN,frog-airplane,2570,A,Backbone alignment A,0.2,5000,1000,997,0.997,0.2
CIFAR10,ResNet20BN,frog-airplane,3117,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,frog-airplane,3117,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ResNet20BN,frog-airplane,3117,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,3117,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,frog-airplane,3117,beta1,GRAFT+ (\beta=1),0.002,5000,10,7,0.7,0.002
CIFAR10,ResNet20BN,frog-airplane,3117,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,frog-airplane,3117,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,frog-airplane,3117,beta1,GRAFT+ (\beta=1),0.005,5000,25,21,0.84,0.005
CIFAR10,ResNet20BN,frog-airplane,3117,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,frog-airplane,3117,beta0,GRAFT (\beta=0),0.01,5000,50,3,0.06,0.01
CIFAR10,ResNet20BN,frog-airplane,3117,beta1,GRAFT+ (\beta=1),0.01,5000,50,42,0.84,0.01
CIFAR10,ResNet20BN,frog-airplane,3117,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,frog-airplane,3117,beta0,GRAFT (\beta=0),0.02,5000,100,5,0.05,0.02
CIFAR10,ResNet20BN,frog-airplane,3117,beta1,GRAFT+ (\beta=1),0.02,5000,100,76,0.76,0.02
CIFAR10,ResNet20BN,frog-airplane,3117,A,Backbone alignment A,0.02,5000,100,99,0.99,0.02
CIFAR10,ResNet20BN,frog-airplane,3117,beta0,GRAFT (\beta=0),0.05,5000,250,27,0.108,0.05
CIFAR10,ResNet20BN,frog-airplane,3117,beta1,GRAFT+ (\beta=1),0.05,5000,250,193,0.772,0.05
CIFAR10,ResNet20BN,frog-airplane,3117,A,Backbone alignment A,0.05,5000,250,249,0.996,0.05
CIFAR10,ResNet20BN,frog-airplane,3117,beta0,GRAFT (\beta=0),0.1,5000,500,95,0.19,0.1
CIFAR10,ResNet20BN,frog-airplane,3117,beta1,GRAFT+ (\beta=1),0.1,5000,500,367,0.734,0.1
CIFAR10,ResNet20BN,frog-airplane,3117,A,Backbone alignment A,0.1,5000,500,499,0.998,0.1
CIFAR10,ResNet20BN,frog-airplane,3117,beta0,GRAFT (\beta=0),0.2,5000,1000,313,0.313,0.2
CIFAR10,ResNet20BN,frog-airplane,3117,beta1,GRAFT+ (\beta=1),0.2,5000,1000,691,0.691,0.2
CIFAR10,ResNet20BN,frog-airplane,3117,A,Backbone alignment A,0.2,5000,1000,1000,1.0,0.2
CIFAR10,ResNet20BN,frog-airplane,2041,beta0,GRAFT (\beta=0),0.001,5000,5,0,0.0,0.001
CIFAR10,ResNet20BN,frog-airplane,2041,beta1,GRAFT+ (\beta=1),0.001,5000,5,4,0.8,0.001
CIFAR10,ResNet20BN,frog-airplane,2041,A,Backbone alignment A,0.001,5000,5,5,1.0,0.001
CIFAR10,ResNet20BN,frog-airplane,2041,beta0,GRAFT (\beta=0),0.002,5000,10,0,0.0,0.002
CIFAR10,ResNet20BN,frog-airplane,2041,beta1,GRAFT+ (\beta=1),0.002,5000,10,9,0.9,0.002
CIFAR10,ResNet20BN,frog-airplane,2041,A,Backbone alignment A,0.002,5000,10,10,1.0,0.002
CIFAR10,ResNet20BN,frog-airplane,2041,beta0,GRAFT (\beta=0),0.005,5000,25,0,0.0,0.005
CIFAR10,ResNet20BN,frog-airplane,2041,beta1,GRAFT+ (\beta=1),0.005,5000,25,19,0.76,0.005
CIFAR10,ResNet20BN,frog-airplane,2041,A,Backbone alignment A,0.005,5000,25,25,1.0,0.005
CIFAR10,ResNet20BN,frog-airplane,2041,beta0,GRAFT (\beta=0),0.01,5000,50,0,0.0,0.01
CIFAR10,ResNet20BN,frog-airplane,2041,beta1,GRAFT+ (\beta=1),0.01,5000,50,41,0.82,0.01
CIFAR10,ResNet20BN,frog-airplane,2041,A,Backbone alignment A,0.01,5000,50,50,1.0,0.01
CIFAR10,ResNet20BN,frog-airplane,2041,beta0,GRAFT (\beta=0),0.02,5000,100,4,0.04,0.02
