dataset,model,class_pair,target_idx,model_id,margin_group,candidate_count,residual_norm_median,abs_head_interaction_median,abs_backbone_interaction_median
CIFAR10,ConvNetBN,dog-bird,1547,0,1,167,0.009828074835240841,0.4514603912830353,3.524932861328125
CIFAR10,ConvNetBN,dog-bird,1547,0,2,167,0.005007910542190075,0.20123876631259918,2.11956787109375
CIFAR10,ConvNetBN,dog-bird,1547,0,3,166,0.003372764214873314,0.13634935021400452,1.184722900390625
CIFAR10,ConvNetBN,dog-bird,1547,0,4,167,0.002146007725968957,0.09370527416467667,0.824462890625
CIFAR10,ConvNetBN,dog-bird,1547,0,5,167,0.0015442481962963939,0.0738612711429596,0.657958984375
CIFAR10,ConvNetBN,dog-bird,1547,0,6,166,0.0011760465567931533,0.058890724554657936,0.528045654296875
CIFAR10,ConvNetBN,dog-bird,1547,0,7,167,0.0008472350309602916,0.039159975945949554,0.36004638671875
CIFAR10,ConvNetBN,dog-bird,1547,0,8,167,0.0006319092935882509,0.028618065640330315,0.27435302734375
CIFAR10,ConvNetBN,dog-bird,1547,0,9,166,0.0004778139409609139,0.023857293650507927,0.255950927734375
CIFAR10,ConvNetBN,dog-bird,1547,0,10,167,0.0003638129273895174,0.017407456412911415,0.1766357421875
CIFAR10,ConvNetBN,dog-bird,1547,0,11,167,0.000274810561677441,0.013664476573467255,0.120391845703125
CIFAR10,ConvNetBN,dog-bird,1547,0,12,166,0.00020036721980432048,0.009849116206169128,0.1007080078125
CIFAR10,ConvNetBN,dog-bird,1547,0,13,167,0.00014382871449925005,0.006850439123809338,0.06756591796875
CIFAR10,ConvNetBN,dog-bird,1547,0,14,167,0.00010527676931815222,0.005281764082610607,0.04864501953125
CIFAR10,ConvNetBN,dog-bird,1547,0,15,166,7.298225318663754e-05,0.003786569577641785,0.0365142822265625
CIFAR10,ConvNetBN,dog-bird,1547,0,16,167,4.98770568810869e-05,0.0024502871092408895,0.0220947265625
CIFAR10,ConvNetBN,dog-bird,1547,0,17,167,3.220084909116849e-05,0.0015711302403360605,0.01568603515625
CIFAR10,ConvNetBN,dog-bird,1547,0,18,166,2.1766568352177273e-05,0.001100395864341408,0.01055908203125
CIFAR10,ConvNetBN,dog-bird,1547,0,19,167,1.243271617568098e-05,0.0006369748152792454,0.0059814453125
CIFAR10,ConvNetBN,dog-bird,1547,0,20,167,7.401125913020223e-06,0.0004103825194761157,0.00390625
CIFAR10,ConvNetBN,dog-bird,1547,0,21,166,3.984641807619482e-06,0.00020252631657058373,0.001983642578125
CIFAR10,ConvNetBN,dog-bird,1547,0,22,167,1.9661238184198737e-06,0.00010448564717080444,0.00115966796875
CIFAR10,ConvNetBN,dog-bird,1547,0,23,167,7.545261837549333e-07,3.7605575926136225e-05,0.000396728515625
CIFAR10,ConvNetBN,dog-bird,1547,0,24,166,3.084224005078795e-07,1.4957510757085402e-05,0.0001220703125
CIFAR10,ConvNetBN,dog-bird,1547,0,25,167,1.35530044076404e-07,5.837492608407047e-06,6.103515625e-05
CIFAR10,ConvNetBN,dog-bird,1547,0,26,167,1.7324644829841418e-08,7.045137806471757e-10,0.0
CIFAR10,ConvNetBN,dog-bird,1547,0,27,166,3.2447018405434846e-09,1.1060784232963528e-10,0.0
CIFAR10,ConvNetBN,dog-bird,1547,0,28,167,4.0749942309403764e-10,3.886182348145084e-11,0.0
CIFAR10,ConvNetBN,dog-bird,1547,0,29,167,2.87224011935594e-11,1.98194412270869e-12,0.0
CIFAR10,ConvNetBN,dog-bird,1547,0,30,166,3.55318598437189e-14,2.0069331836865007e-15,0.0
CIFAR10,ConvNetBN,dog-bird,1547,1,1,167,0.0345894992351532,1.121146559715271,11.09698486328125
CIFAR10,ConvNetBN,dog-bird,1547,1,2,167,0.01699952967464924,0.5720418095588684,5.3323974609375
CIFAR10,ConvNetBN,dog-bird,1547,1,3,166,0.009594802744686604,0.3214595317840576,3.2195892333984375
CIFAR10,ConvNetBN,dog-bird,1547,1,4,167,0.0063081830739974976,0.2364605963230133,2.35321044921875
CIFAR10,ConvNetBN,dog-bird,1547,1,5,167,0.004210468381643295,0.15397971868515015,1.66888427734375
CIFAR10,ConvNetBN,dog-bird,1547,1,6,166,0.0029518280643969774,0.10786160081624985,1.06500244140625
CIFAR10,ConvNetBN,dog-bird,1547,1,7,167,0.002105144551023841,0.0795418992638588,0.7806396484375
CIFAR10,ConvNetBN,dog-bird,1547,1,8,167,0.0014512171037495136,0.05708228424191475,0.62017822265625
CIFAR10,ConvNetBN,dog-bird,1547,1,9,166,0.001018960087094456,0.038649266585707664,0.3980712890625
CIFAR10,ConvNetBN,dog-bird,1547,1,10,167,0.0007095997571013868,0.028302688151597977,0.307373046875
CIFAR10,ConvNetBN,dog-bird,1547,1,11,167,0.000538573251105845,0.019745294004678726,0.22283935546875
CIFAR10,ConvNetBN,dog-bird,1547,1,12,166,0.0003619474737206474,0.013988531660288572,0.15887451171875
CIFAR10,ConvNetBN,dog-bird,1547,1,13,167,0.00024077326816041023,0.009438981302082539,0.1082763671875
CIFAR10,ConvNetBN,dog-bird,1547,1,14,167,0.00016096372564788908,0.00621702941134572,0.0667724609375
CIFAR10,ConvNetBN,dog-bird,1547,1,15,166,0.00011724547584890388,0.004549237433820963,0.0472259521484375
CIFAR10,ConvNetBN,dog-bird,1547,1,16,167,7.606262806802988e-05,0.0029560730326920748,0.0323486328125
CIFAR10,ConvNetBN,dog-bird,1547,1,17,167,5.1751176215475425e-05,0.001954051200300455,0.0216064453125
CIFAR10,ConvNetBN,dog-bird,1547,1,18,166,3.261231722717639e-05,0.0013346191844902933,0.014678955078125
CIFAR10,ConvNetBN,dog-bird,1547,1,19,167,1.9216875443817116e-05,0.0007972746971063316,0.00933837890625
CIFAR10,ConvNetBN,dog-bird,1547,1,20,167,1.0859524991246872e-05,0.00042330025462433696,0.0048828125
CIFAR10,ConvNetBN,dog-bird,1547,1,21,166,6.3684383349027485e-06,0.00025130978610832244,0.002685546875
CIFAR10,ConvNetBN,dog-bird,1547,1,22,167,3.365669272170635e-06,0.0001264055899810046,0.00146484375
CIFAR10,ConvNetBN,dog-bird,1547,1,23,167,1.5675109352741856e-06,6.200682400958613e-05,0.000732421875
CIFAR10,ConvNetBN,dog-bird,1547,1,24,166,7.045354948331806e-07,2.6708376026363112e-05,0.00030517578125
CIFAR10,ConvNetBN,dog-bird,1547,1,25,167,2.938789407380682e-07,9.565098480379675e-06,0.0001220703125
CIFAR10,ConvNetBN,dog-bird,1547,1,26,167,4.522953034324928e-08,7.741672858330162e-10,0.0
CIFAR10,ConvNetBN,dog-bird,1547,1,27,166,8.951350327635055e-09,1.0777616212681584e-11,0.0
CIFAR10,ConvNetBN,dog-bird,1547,1,28,167,9.877081375009311e-10,6.723859208128402e-13,0.0
CIFAR10,ConvNetBN,dog-bird,1547,1,29,167,4.097795019974981e-11,5.867063833462499e-14,0.0
CIFAR10,ConvNetBN,dog-bird,1547,1,30,166,1.923834897811505e-13,3.388194158435388e-17,0.0
CIFAR10,ConvNetBN,dog-bird,1547,2,1,167,0.0966937467455864,2.776456832885742,30.472412109375
CIFAR10,ConvNetBN,dog-bird,1547,2,2,167,0.04677526652812958,1.4192280769348145,17.145263671875
CIFAR10,ConvNetBN,dog-bird,1547,2,3,166,0.028639492578804493,0.8425334393978119,11.233245849609375
CIFAR10,ConvNetBN,dog-bird,1547,2,4,167,0.018836425617337227,0.6055088639259338,8.4027099609375
CIFAR10,ConvNetBN,dog-bird,1547,2,5,167,0.013129270635545254,0.437803715467453,5.84429931640625
CIFAR10,ConvNetBN,dog-bird,1547,2,6,166,0.009162434376776218,0.2828061282634735,3.90045166015625
CIFAR10,ConvNetBN,dog-bird,1547,2,7,167,0.006889537908136845,0.22508633136749268,3.2567138671875
CIFAR10,ConvNetBN,dog-bird,1547,2,8,167,0.005030390806496143,0.16199319064617157,2.2803955078125
CIFAR10,ConvNetBN,dog-bird,1547,2,9,166,0.003618637565523386,0.1169852502644062,1.74609375
CIFAR10,ConvNetBN,dog-bird,1547,2,10,167,0.0025818683207035065,0.08414728194475174,1.278564453125
CIFAR10,ConvNetBN,dog-bird,1547,2,11,167,0.0018394520739093423,0.057213351130485535,0.77618408203125
CIFAR10,ConvNetBN,dog-bird,1547,2,12,166,0.0013372914982028306,0.04448752477765083,0.616851806640625
CIFAR10,ConvNetBN,dog-bird,1547,2,13,167,0.0009349276660941541,0.03205404803156853,0.45703125
CIFAR10,ConvNetBN,dog-bird,1547,2,14,167,0.000690160202793777,0.022634541615843773,0.3765869140625
CIFAR10,ConvNetBN,dog-bird,1547,2,15,166,0.0004680296406149864,0.01567814126610756,0.2506256103515625
CIFAR10,ConvNetBN,dog-bird,1547,2,16,167,0.00032421009382233024,0.01036466471850872,0.14837646484375
CIFAR10,ConvNetBN,dog-bird,1547,2,17,167,0.00021705303515773267,0.00720572704449296,0.1131591796875
CIFAR10,ConvNetBN,dog-bird,1547,2,18,166,0.00013808700896333903,0.004743311088532209,0.068359375
CIFAR10,ConvNetBN,dog-bird,1547,2,19,167,8.405000698985532e-05,0.002860040869563818,0.04522705078125
CIFAR10,ConvNetBN,dog-bird,1547,2,20,167,5.224471533438191e-05,0.0016992514720186591,0.028564453125
CIFAR10,ConvNetBN,dog-bird,1547,2,21,166,2.6208170311292633e-05,0.0008748211548663676,0.014556884765625
CIFAR10,ConvNetBN,dog-bird,1547,2,22,167,1.2448889719962608e-05,0.00040501932380720973,0.0068359375
CIFAR10,ConvNetBN,dog-bird,1547,2,23,167,6.229656719369814e-06,0.00020572282664943486,0.003173828125
CIFAR10,ConvNetBN,dog-bird,1547,2,24,166,2.6613919317242107e-06,8.785144746070728e-05,0.0013427734375
CIFAR10,ConvNetBN,dog-bird,1547,2,25,167,9.206789286508865e-07,3.1861316529102623e-05,0.00042724609375
CIFAR10,ConvNetBN,dog-bird,1547,2,26,167,3.0403356277020066e-07,9.561558727000374e-06,0.0001220703125
CIFAR10,ConvNetBN,dog-bird,1547,2,27,166,3.938772863421036e-08,4.1493104507850376e-09,0.0
CIFAR10,ConvNetBN,dog-bird,1547,2,28,167,6.346453584882283e-09,3.837660397798537e-11,0.0
