timestamp	item	phase	state	rc	detail
2026-08-26T07:25:40+00:00	x09_K1_gradmatch_AResNet20BN_SConvNetBN	experiment	running	-	physical_gpus=4,5
2026-08-26T07:26:33+00:00	concurrency_guard	scheduler	paused	-	SIGSTOP original PGID 304029; prefetch x04-x06 still draining; enforces <=4 trainings per physical GPU 4/5
2026-08-26T07:27:02+00:00	concurrency_guard	scheduler	selective_resume	-	x07 lineage resumed beside three prefetch cells; x08/x09 and scheduler remain SIGSTOP; exactly four configurations on GPUs4/5
2026-08-26T07:28:44+00:00	concurrency_guard	scheduler	selective_resume	-	prefetch x05 completed; x08 lineage resumed; x09 and scheduler remain paused; four configurations max on GPUs4/5
2026-08-26T07:30:04+00:00	concurrency_guard	scheduler	selective_resume	-	prefetch x06 completed; x09 lineage resumed; only scheduler remains paused; x04+x07+x08+x09 = four configurations on GPUs4/5
2026-08-26T07:30:55+00:00	concurrency_guard	scheduler	resumed	-	launcher resumed; it is blocked waiting for x07-x09; x04 prefetch plus wave3 equals four configurations max on GPUs4/5
2026-08-26T08:02:07+00:00	prefetch_wave_2	scheduler	complete	0	three prefetched configurations exited
2026-08-26T08:03:02+00:00	prefetch_x10_K1_gradmatch_AResNet20BN_SVGG13BN	prefetch	running	-	physical_gpus=4,5; one extra config beside wave3; normal x10 lock will skip safely
2026-08-26T08:03:25+00:00	prefetch_x10_K1_gradmatch_AResNet20BN_SVGG13BN	prefetch	active	-	actual isolated pgid=434719 physical_gpus=4,5 exact K1 alpha2 Jacobian-off 5x4
2026-08-26T08:11:35+00:00	x07_K1_gradmatch_AConvNetBN_SResNet20BN	experiment	complete	0	physical_gpus=4,5
2026-08-26T08:12:30+00:00	prefetch_k1_tail	scheduler	paused	-	only launcher pid304029 SIGSTOP; active x08/x09 continue; prevents wave4 until x10-x12 prefetch drains
2026-08-26T08:12:30+00:00	prefetch_x11_K1_gradmatch_AVGG13BN_SConvNetBN	prefetch	running	-	physical_gpus=4,5; fourth active config; exact K1 alpha2 Jacobian-off 5x4
2026-08-26T08:12:47+00:00	prefetch_x11_K1_gradmatch_AVGG13BN_SConvNetBN	prefetch	active	-	actual isolated pgid=440094 physical_gpus=4,5
2026-08-26T08:13:29+00:00	x08_K1_gradmatch_AConvNetBN_SVGG13BN	experiment	complete	0	physical_gpus=4,5
2026-08-26T08:14:18+00:00	prefetch_x12_K1_gradmatch_AVGG13BN_SResNet20BN	prefetch	running	-	physical_gpus=4,5; fourth active config; exact K1 alpha2 Jacobian-off 5x4
2026-08-26T08:14:35+00:00	prefetch_x12_K1_gradmatch_AVGG13BN_SResNet20BN	prefetch	active	-	actual isolated pgid=441696 physical_gpus=4,5
2026-08-26T09:40:19+00:00	prefetch_x13_K3_fc_AConvNetBN_SResNet20BN	prefetch	running	-	physical_gpu=4; fills one genuinely idle training slot; exact K3 alpha2 Jacobian-off 5x4
2026-08-26T09:40:57+00:00	prefetch_x13_K3_fc_AConvNetBN_SResNet20BN	prefetch	active	-	actual isolated pgid=507543 physical_gpu=4; deadline guard re-armed after setsid fork
2026-08-26T09:45:11+00:00	prefetch_x14_K3_fc_AConvNetBN_SVGG13BN	prefetch	running	-	physical_gpu=5; fills one genuinely idle training slot; exact K3 alpha2 Jacobian-off 5x4
2026-08-26T09:45:16+00:00	prefetch_x14_K3_fc_AConvNetBN_SVGG13BN	prefetch	active	-	actual isolated pgid=511325 physical_gpu=5
2026-08-26T09:57:41+00:00	prefetch_x13_K3_fc_AConvNetBN_SResNet20BN	concurrency	paused	-	SIGSTOP pgid=507543; x11 GPU4 helper resumed for target5 victims; maintains <=4 trainings
2026-08-26T09:58:43+00:00	prefetch_x14_K3_fc_AConvNetBN_SVGG13BN	concurrency	paused	-	SIGSTOP pgid=511325; x12 GPU5 helper resumed for target5 victims; maintains <=4 trainings
2026-08-26T09:59:58+00:00	prefetch_x13_K3_fc_AConvNetBN_SResNet20BN	concurrency	resumed	-	SIGCONT pgid=507543; x09 GPU4 worker idle during target5 craft; actual GPU4 trainings remains 4
2026-08-26T10:09:01+00:00	prefetch_x13_K3_fc_AConvNetBN_SResNet20BN	concurrency	resumed	-	SIGCONT pgid=507543 after x11 exit; free GPU4 training slot
2026-08-26T10:09:57+00:00	prefetch_x14_K3_fc_AConvNetBN_SVGG13BN	concurrency	resumed	-	SIGCONT pgid=511325 after x12 exit; free GPU5 training slot
2026-08-26T10:10:50+00:00	prefetch_x15_K3_fc_AResNet20BN_SConvNetBN	prefetch	running	-	physical_gpus=4,5; exact K3 alpha2 Jacobian-off 5x4; fills fourth active training per GPU
2026-08-26T10:10:55+00:00	prefetch_x15_K3_fc_AResNet20BN_SConvNetBN	prefetch	active	-	actual isolated pgid=532848 physical_gpus=4,5
2026-08-26T10:25:08+00:00	prefetch_x13_K3_fc_AConvNetBN_SResNet20BN	prefetch	complete	0	physical_gpu=4
2026-08-26T10:26:34+00:00	prefetch_x16_K3_fc_AResNet20BN_SVGG13BN	prefetch	running	-	physical_gpu=4; exact K3 alpha2 Jacobian-off 5x4; safe freed slot after x13 completion
2026-08-26T10:26:39+00:00	prefetch_x16_K3_fc_AResNet20BN_SVGG13BN	prefetch	active	-	actual isolated pgid=546059 physical_gpu=4
2026-08-26T10:32:41+00:00	prefetch_x10_K1_gradmatch_AResNet20BN_SVGG13BN	prefetch	deadline_reached	-	terminating only isolated pgid=434719
2026-08-26T10:33:19+00:00	cross_k13_queue	scheduler	deadline_reached	-	authorized window ended at 2026-08-26T10:32:36+00:00; terminating only pgid=304029
