model,attack,base,class_pair,pair_order,seed,budget,num_poisons,epsilon,fc_mode,lambda_margin,base_dist,num_surrogates,craft_ensemble,restarts,craft_steps,craft_alpha,target_select,num_targets,num_trials,asr_mean,asr_std,cta_post_mean,cta_post_std,cta_baseline_mean,cta_baseline_std,cta_drop_mean
ResNet20BN,gradmatch,random,frog-airplane,poison-target,42,0.001,50,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.016666666666666666,0.049999999999999996,0.8379883333333332,0.0034457747878944137,0.8394166666666667,0.0032168393736019068,-0.0014283333333334758
ResNet20BN,gradmatch,random,frog-airplane,poison-target,42,0.002,100,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.0,0.0,0.8376750000000002,0.004167918145389451,0.8394166666666667,0.0032168393736019068,-0.0017416666666665304
ResNet20BN,gradmatch,random,frog-airplane,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.08333333333333333,0.11180339887498948,0.8375066666666666,0.004198208612677023,0.8394166666666667,0.0032168393736019068,-0.0019100000000000783
ResNet20BN,gradmatch,random,dog-bird,poison-target,42,0.005,250,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,14,10,60,0.4333333333333333,0.22607766610417557,0.8378966666666666,0.003300705311831935,0.8394166666666667,0.0032168393736019068,-0.0015200000000000768
ResNet20BN,gradmatch,random,dog-bird,poison-target,42,0.001,50,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,14,10,60,0.15000000000000002,0.15723301886761007,0.8376216666666666,0.00388433141680206,0.8394166666666667,0.0032168393736019068,-0.001795000000000102
ResNet20BN,gradmatch,random,dog-bird,poison-target,42,0.002,100,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,14,10,60,0.31666666666666665,0.2522124325070259,0.8388433333333333,0.003777096180342192,0.8394166666666667,0.0032168393736019068,-0.0005733333333334256
ResNet20BN,gradmatch,random,frog-airplane,poison-target,42,0.01,500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.26666666666666666,0.2905932629027116,0.8372283333333334,0.0038353657655503335,0.8394166666666667,0.0032168393736019068,-0.0021883333333333477
ResNet20BN,gradmatch,random,dog-bird,poison-target,42,0.01,500,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,14,10,60,0.5666666666666667,0.34318767136623335,0.8372866666666666,0.0034294055202355738,0.8394166666666667,0.0032168393736019068,-0.0021300000000000763
ResNet20BN,gradmatch,random,frog-airplane,poison-target,42,0.02,1000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,10,10,60,0.45,0.25873624493766706,0.8357116666666665,0.003931627808201359,0.8394166666666667,0.0032168393736019068,-0.0037050000000001804
VGG13BN,gradmatch,random,frog-airplane,poison-target,42,0.04,2000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,12,10,60,0.7833333333333334,0.3077697552103231,0.8499166666666667,0.01019192763361715,0.8476333333333333,0.015777057886550178,0.002283333333333304
VGG13BN,gradmatch,random,dog-bird,poison-target,42,0.04,2000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,50,10,60,0.9833333333333334,0.04999999999999999,0.8505033333333335,0.00671446117636322,0.8476333333333333,0.015777057886550178,0.00287000000000015
ResNet20BN,gradmatch,random,dog-bird,poison-target,42,0.02,1000,0.0313725,sample,1.0,l2,5,5,8,250,0.0039216,14,10,60,0.75,0.2608745973749755,0.8367099999999998,0.004275694875300001,0.8394166666666667,0.0032168393736019068,-0.002706666666666857
