run,attack_dir,defense,defense_tag,aug,model,attack,base,sel,class_pair,seed,budget,epsilon,num_targets,num_trials,asr_mean,asr_std,cta_post_mean,cta_post_std,cta_baseline_mean,cta_baseline_std,frac_poison_dropped_mean,frac_clean_dropped_mean,cta_drop_mean
CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,none,none+aug-randaug,randaug,ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,0.0313725,5,20,0.3,0.29154759474226505,0.9020250000000001,0.0025337472249614785,0.9021750000000001,0.0012616952880945495,,,-0.00014999999999998348
CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_ours_frog-airplane_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt2,none,none+aug-randaug,randaug,ResNet20BN,fc,ours,dpp2,frog-airplane,42,0.01,0.0313725,5,20,0.0,0.0,0.9017250000000001,0.0021250588227152713,0.9021750000000001,0.0012616952880945495,,,-0.00044999999999995044
CIFAR10_ResNet20BN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_random_dog-bird_b0.01_eps8_seed42_ce5_tgt10,none,none+aug-standard,standard,ResNet20BN,fc,random,random,dog-bird,42,0.01,0.0313725,5,27,0.0,0.0,0.8961518518518518,0.0025082634350350077,0.8967,0.0010770329614269059,,,-0.0005481481481482975
CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,none,none+aug-standard,standard,ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.002,0.0313725,5,27,0.06666666666666667,0.13333333333333333,0.8968555555555554,0.0022519675896183217,0.8967,0.0010770329614269059,,,0.00015555555555535339
CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,none,none+aug-standard,standard,ResNet20BN,fc,ours,dpp2,dog-bird,42,0.002,0.0313725,5,27,0.05,0.1,0.8956962962962962,0.0019581702497544285,0.8967,0.0010770329614269059,,,-0.0010037037037038399
CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.02_eps8_seed42_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_random_frog-airplane_b0.02_eps8_seed42_ce5_tgt10,none,none+aug-standard,standard,ResNet20BN,gradmatch,random,random,frog-airplane,42,0.02,0.0313725,5,26,0.25,0.31622776601683794,0.8952461538461538,0.0017837365209950108,0.8967,0.0010770329614269059,,,-0.00145384615384625
CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.002_eps8_seed42_ce5_tgt14,ours_result/CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.002_eps8_seed42_ce5_tgt14,none,none+aug-standard,standard,ResNet20BN,gradmatch,random,random,dog-bird,42,0.002,0.0313725,5,27,0.2,0.19436506316151003,0.896351851851852,0.0025600015003425006,0.8967,0.0010770329614269059,,,-0.00034814814814809747
CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_fc_ours_dog-bird_b0.01_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,none,none+aug-standard,standard,ResNet20BN,fc,ours,dpp2,dog-bird,42,0.01,0.0313725,5,26,0.06666666666666667,0.13333333333333333,0.8951769230769229,0.0028736612524935625,0.8967,0.0010770329614269059,,,-0.0015230769230771823
CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,none,none+aug-standard,standard,ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.002,0.0313725,5,26,0.6166666666666667,0.22110831935702666,0.8965000000000001,0.002879102424234109,0.8967,0.0010770329614269059,,,-0.00019999999999997797
CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt14,none,none+aug-randaug,randaug,ResNet20BN,gradmatch,ours,dpp2,dog-bird,42,0.02,0.0313725,5,20,0.85,0.2,0.8985799999999999,0.0019988996973335,0.9021750000000001,0.0012616952880945495,,,-0.003595000000000126
CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt14,ours_result/CIFAR10_ResNet20BN_gradmatch_random_dog-bird_b0.02_eps8_seed42_ce5_tgt14,none,none+aug-standard,standard,ResNet20BN,gradmatch,random,random,dog-bird,42,0.02,0.0313725,5,26,0.8333333333333333,0.13944333775567927,0.8960153846153847,0.002107439625504817,0.8966999999999999,0.0010606601717798273,,,-0.0006846153846152836
CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.002_eps8_seed42_ce5_tgt2,none,none+aug-standard,standard,ResNet20BN,fc,random,random,frog-airplane,42,0.002,0.0313725,5,20,0.0,0.0,0.8966599999999998,0.001967587355112856,0.8966999999999999,0.0010606601717798273,,,-4.0000000000151026e-05
CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.01_eps8_seed42_ce5_tgt2,ours_result/CIFAR10_ResNet20BN_fc_random_frog-airplane_b0.01_eps8_seed42_ce5_tgt2,none,none+aug-standard,standard,ResNet20BN,fc,random,random,frog-airplane,42,0.01,0.0313725,5,20,0.05,0.10000000000000002,0.8966,0.0016798809481626928,0.8966999999999999,0.0010606601717798273,,,-9.999999999998899e-05
CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,ours_result/CIFAR10_ResNet20BN_gradmatch_ours_frog-airplane_b0.02_eps8_seed42_lam1_cosine_seldpp2_ce5_tgt10,none,none+aug-standard,standard,ResNet20BN,gradmatch,ours,dpp2,frog-airplane,42,0.02,0.0313725,5,20,0.1,0.20000000000000004,0.8926400000000001,0.002692285274631946,0.8966999999999999,0.0010606601717798273,,,-0.0040599999999998415
