dataset,class_pair,target_id,surrogate_id,n_candidates,spearman_neg_margin_residual_dot,margin_source,cache_shard
CIFAR10,dog-bird,1547,11,5000,0.9979938608717063,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_011.npz
CIFAR10,dog-bird,1547,12,5000,0.9980635136504475,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_012.npz
CIFAR10,dog-bird,1547,13,5000,0.997052420682097,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_013.npz
CIFAR10,dog-bird,1547,14,5000,0.9977404908216199,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_014.npz
CIFAR10,dog-bird,1547,15,5000,0.996570032686719,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_015.npz
CIFAR10,dog-bird,1547,16,5000,0.9964479307377467,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_016.npz
CIFAR10,dog-bird,1547,17,5000,0.9970536043621444,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_017.npz
CIFAR10,dog-bird,1547,18,5000,0.9969871067914845,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_018.npz
CIFAR10,dog-bird,1547,19,5000,0.9974978314199134,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_019.npz
CIFAR10,dog-bird,1547,20,5000,0.9980635850024041,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_020.npz
CIFAR10,dog-bird,1547,21,5000,0.9972613281144533,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_021.npz
CIFAR10,dog-bird,1547,22,5000,0.9976030864001236,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_022.npz
CIFAR10,dog-bird,1547,23,5000,0.9977138633244996,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_023.npz
CIFAR10,dog-bird,1547,24,5000,0.9970052874642117,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_024.npz
CIFAR10,dog-bird,1547,25,5000,0.9976839421393021,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_025.npz
CIFAR10,dog-bird,1547,26,5000,0.9980729129149167,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_026.npz
CIFAR10,dog-bird,1547,27,5000,0.9977840871353103,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_027.npz
CIFAR10,dog-bird,1547,28,5000,0.9963124574524985,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_028.npz
CIFAR10,dog-bird,1547,29,5000,0.9980252781930113,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_029.npz
CIFAR10,dog-bird,1547,30,5000,0.99102174527287,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_030.npz
CIFAR10,dog-bird,1547,31,5000,0.9977712578387968,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_031.npz
CIFAR10,dog-bird,1547,32,5000,0.9977025491241022,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_032.npz
CIFAR10,dog-bird,1547,33,5000,0.9979932669676825,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_033.npz
CIFAR10,dog-bird,1547,34,5000,0.9971404196616169,direct,/scratch/mmoslem3/attack_if/results/margin_residual_chain_candidates/CIFAR10/ConvNetBN/dog-bird/target_1547/panel_b_surrogate_034.npz
