model,attack,pair,budget,eps,seed,tags,target_idx,n_victims,sel_a,asr_a,sel_b,asr_b,gain
ConvNetBN,gradmatch,dog-bird,0.005,8,42,craftcropflip_ce5,1126,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,craftcropflip_ce5,3522,5,random,0.0,dpp2,60.0,60.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,craftcropflip_ce5,3741,5,random,0.0,dpp2,40.0,40.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,craftcropflip_ce5,6857,5,random,80.0,dpp2,100.0,20.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,craftcropflip_ce5,8252,5,random,20.0,dpp2,100.0,80.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,craftnoaug_ce5,1126,5,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,craftnoaug_ce5,3522,5,random,40.0,dpp2,80.0,40.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,craftnoaug_ce5,3741,5,random,20.0,dpp2,80.0,60.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,craftnoaug_ce5,6857,5,random,60.0,dpp2,100.0,40.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,craftnoaug_ce5,8252,5,random,60.0,dpp2,100.0,40.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,selarchResNet20BN_ce5_tgt70,1257,4,random,0.0,dpp2,50.0,50.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,selarchResNet20BN_ce5_tgt70,1547,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,selarchResNet20BN_ce5_tgt70,4427,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,selarchResNet20BN_ce5_tgt70,821,4,random,0.0,dpp2,50.0,50.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,selarchResNet20BN_ce5_tgt70,843,4,random,0.0,dpp2,75.0,75.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,selarchVGG13BN_ce5_tgt70,1257,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,selarchVGG13BN_ce5_tgt70,1547,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,selarchVGG13BN_ce5_tgt70,4427,4,random,0.0,dpp2,25.0,25.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,selarchVGG13BN_ce5_tgt70,821,4,random,0.0,dpp2,0.0,0.0
ConvNetBN,gradmatch,dog-bird,0.005,8,42,selarchVGG13BN_ce5_tgt70,843,4,random,0.0,dpp2,75.0,75.0
ConvNetBN,gradmatch,dog-bird,0.02,8,42,ce5_tgt70,1257,4,random,100.0,dpp2,75.0,-25.0
ConvNetBN,gradmatch,dog-bird,0.02,8,42,ce5_tgt70,1547,4,random,0.0,dpp2,0.0,0.0
