dataset,poison_rho,train_set_size,candidate_count,m,candidate_fraction,hybrid_scale,method_left,method_right,target_pools,budget_valid,mean_overlap_fraction,median_overlap_fraction,q25_overlap_fraction,q75_overlap_fraction,mean_jaccard
CIFAR100,0.002,50000,500,100,0.2,standardized,graft,graft_plus,10,True,0.756,0.76,0.7424999999999999,0.7825,0.6085464144469805
CIFAR100,0.002,50000,500,100,0.2,standardized,graft,random,10,True,0.2,0.2,0.2,0.2,0.11111111111111112
CIFAR100,0.002,50000,500,100,0.2,standardized,graft_plus,graft_plus,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.002,50000,500,100,0.2,standardized,graft_plus,random,10,True,0.2,0.2,0.2,0.2,0.11111111111111112
CIFAR100,0.002,50000,500,100,0.2,standardized,hybrid,graft,10,True,0.596,0.605,0.5825,0.61,0.42476231823712035
CIFAR100,0.002,50000,500,100,0.2,standardized,hybrid,graft_plus,10,True,0.768,0.765,0.75,0.8,0.6246958663947195
CIFAR100,0.002,50000,500,100,0.2,standardized,hybrid,hybrid,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.002,50000,500,100,0.2,standardized,hybrid,random,10,True,0.2,0.2,0.2,0.2,0.11111111111111112
CIFAR100,0.002,50000,500,100,0.2,standardized,random,random,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.005,50000,500,250,0.5,standardized,exact,exact,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.005,50000,500,250,0.5,standardized,exact,graft,10,True,0.7456,0.74,0.733,0.761,0.5946690870370539
CIFAR100,0.005,50000,500,250,0.5,standardized,exact,graft_plus,10,True,0.8236000000000001,0.816,0.812,0.83,0.7005633459301166
CIFAR100,0.005,50000,500,250,0.5,standardized,exact,hybrid,10,True,0.7492,0.748,0.733,0.769,0.5993722785499935
CIFAR100,0.005,50000,500,250,0.5,standardized,exact,random,10,True,0.5,0.5,0.5,0.5,0.33333333333333337
CIFAR100,0.005,50000,500,250,0.5,standardized,graft,graft,10,True,1.0,1.0,1.0,1.0,1.0
CIFAR100,0.005,50000,500,250,0.5,standardized,graft,graft_plus,10,True,0.9096,0.908,0.904,0.911,0.8343457159787931
