replaces_job_id	index	account	attack	budget	victim_model	selector_model	K	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
927232	144	aip-boyuwang	gradmatch	0.005	VGG13BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K30_ce5_tgt50	job_144_gm_b0005_vvgg_svgg_k30.sh
927235	147	aip-boyuwang	sapa	0.002	ConvNetBN	ConvNetBN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K10_worst0.05_ce5_tgt70	job_147_sapa_b0002_vconv_sconv_k10.sh
927253	165	aip-boyuwang	sapa	0.002	ResNet20BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_worst0.05_ce5_tgt14	job_165_sapa_b0002_vr20_svgg_k1.sh
927256	168	aip-boyuwang	sapa	0.002	ResNet20BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_worst0.05_ce5_tgt14	job_168_sapa_b0002_vr20_svgg_k30.sh
927259	171	aip-boyuwang	sapa	0.002	VGG13BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_worst0.05_ce5_tgt50	job_171_sapa_b0002_vvgg_sconv_k10.sh
927262	174	aip-boyuwang	sapa	0.002	VGG13BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_worst0.05_ce5_tgt50	job_174_sapa_b0002_vvgg_sr20_k3.sh
927265	177	aip-boyuwang	sapa	0.002	VGG13BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K1_worst0.05_ce5_tgt50	job_177_sapa_b0002_vvgg_svgg_k1.sh
927268	180	aip-boyuwang	sapa	0.002	VGG13BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K30_worst0.05_ce5_tgt50	job_180_sapa_b0002_vvgg_svgg_k30.sh
927271	183	aip-boyuwang	sapa	0.005	ConvNetBN	ConvNetBN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_worst0.05_ce5_tgt70	job_183_sapa_b0005_vconv_sconv_k10.sh
927274	186	aip-boyuwang	sapa	0.005	ConvNetBN	ResNet20BN	3	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_worst0.05_ce5_tgt70	job_186_sapa_b0005_vconv_sr20_k3.sh
927277	189	aip-boyuwang	sapa	0.005	ConvNetBN	VGG13BN	1	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_worst0.05_ce5_tgt70	job_189_sapa_b0005_vconv_svgg_k1.sh
927280	192	aip-boyuwang	sapa	0.005	ConvNetBN	VGG13BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_worst0.05_ce5_tgt70	job_192_sapa_b0005_vconv_svgg_k30.sh
927283	195	aip-boyuwang	sapa	0.005	ResNet20BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_worst0.05_ce5_tgt14	job_195_sapa_b0005_vr20_sconv_k10.sh
927286	198	aip-boyuwang	sapa	0.005	ResNet20BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K3_worst0.05_ce5_tgt14	job_198_sapa_b0005_vr20_sr20_k3.sh
927289	201	aip-boyuwang	sapa	0.005	ResNet20BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_worst0.05_ce5_tgt14	job_201_sapa_b0005_vr20_svgg_k1.sh
927292	204	aip-boyuwang	sapa	0.005	ResNet20BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_worst0.05_ce5_tgt14	job_204_sapa_b0005_vr20_svgg_k30.sh
927295	207	aip-boyuwang	sapa	0.005	VGG13BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_worst0.05_ce5_tgt50	job_207_sapa_b0005_vvgg_sconv_k10.sh
927298	210	aip-boyuwang	sapa	0.005	VGG13BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_worst0.05_ce5_tgt50	job_210_sapa_b0005_vvgg_sr20_k3.sh
927301	213	aip-boyuwang	sapa	0.005	VGG13BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K1_worst0.05_ce5_tgt50	job_213_sapa_b0005_vvgg_svgg_k1.sh
927304	216	aip-boyuwang	sapa	0.005	VGG13BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K30_worst0.05_ce5_tgt50	job_216_sapa_b0005_vvgg_svgg_k30.sh
